order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
1478486,299973,Blue Ribbon Sushi Bar & Grill,American,12.035346029740026,Weekend,Not given,25,30
1478487,361586,Song Thai Restaurant & Bar,American,10.71307772128132,Weekend,Not given,28,29
1478488,65509,Vanessa's Dumplings,American,12.37549376223516,Weekend,5,31,24
1478489,55130,Shake Shack,American,24.62141158818803,Weekday,3,35,27
1478490,107440,Nobu Next Door,Chinese,8.669066503349491,Weekend,3,28,20
1478491,376621,Cafe Mogador,American,33.8396691789166,Weekday,5,28,31
1478492,236318,RedFarm Hudson,Japanese,12.773673834718153,Weekend,Not given,26,15
1478493,144821,Blue Ribbon Sushi,American,31.85881627740538,Weekday,Not given,27,30
1478494,182080,Empanada Mama (closed),American,18.31117598695776,Weekday,4,29,19
1478495,343597,Shake Shack,American,22.888912051271223,Weekend,4,26,15
1478496,96254,Hill Country Fried Chicken,American,14.682561307473872,Weekend,Not given,35,23
1478497,59175,Big Daddy's,Chinese,16.92883438900862,Weekend,Not given,21,22
1478498,258275,Han Dynasty,Japanese,14.330926082078506,Weekend,Not given,25,30
1478499,240952,Blue Ribbon Fried Chicken,Japanese,34.07168531459272,Weekend,Not given,35,30
1478500,93475,RedFarm Broadway,American,15.120325695553522,Weekend,Not given,32,24
1478501,136777,S'MAC,Japanese,15.812181143207429,Weekend,3,25,24
1478502,399832,The Kati Roll Company,American,12.94465539578042,Weekday,3,23,17
1478503,184325,ilili Restaurant,American,13.397504518942169,Weekday,4,29,24
1478504,39112,Sushi of Gari,Mexican,15.44038076017993,Weekend,5,24,24
1478505,127006,Shake Shack,American,31.21682882436808,Weekend,5,27,24
1478506,105880,Blue Ribbon Sushi,Chinese,17.887299130430563,Weekend,5,24,25
1478507,284331,Five Guys Burgers and Fries,Japanese,10.722437011790111,Weekend,Not given,34,32
1478508,111856,Bareburger,Japanese,16.37884643084431,Weekend,Not given,34,29
1478509,164174,Asuka Sushi,Japanese,16.425291661264104,Weekday,Not given,20,29
1478510,78982,Blue Ribbon Sushi,Vietnamese,17.61899850340328,Weekend,5,33,19
1478511,49738,The Smile,American,16.613836617174144,Weekend,5,33,28
1478512,42394,RedFarm Hudson,Italian,19.836617806326927,Weekday,4,28,27
1478513,56722,Melt Shop,Japanese,13.533296061851471,Weekend,Not given,31,25
1478514,27609,Shake Shack,American,15.272205492407782,Weekend,Not given,33,31
1478515,221437,Vanessa's Dumplings,Japanese,13.070180933446885,Weekday,3,33,28
1478516,261665,Blue Ribbon Sushi,American,11.21798778006418,Weekday,4,22,33
1478517,142574,Waverly Diner,American,14.921591663509217,Weekend,Not given,24,15
1478518,128267,Sushi Samba,Japanese,30.661707152603583,Weekday,4,33,24
1478519,132137,Jack's Wife Freda,Italian,17.598961813189874,Weekday,4,27,29
1478520,151077,Carmine's,American,13.748262792210229,Weekday,Not given,34,32
1478521,122895,Cafe Habana,Chinese,32.984145348456835,Weekend,4,20,20
1478522,344268,Sarabeth's East,Italian,27.41757868507401,Weekend,4,27,19
1478523,45664,Shake Shack,Chinese,29.07529654154127,Weekend,3,32,28
1478524,270649,Melt Shop,American,15.793617581103089,Weekend,5,27,28
1478525,181782,Terakawa Ramen,Italian,11.572868837183464,Weekend,5,31,16
1478526,364757,RedFarm Hudson,American,15.382685065995398,Weekend,3,29,15
1478527,41219,Blue Ribbon Fried Chicken,Mediterranean,36.91575074510176,Weekend,Not given,25,30
1478528,366924,RedFarm Broadway,American,6.414947229641342,Weekend,3,31,21
1478529,81376,The Meatball Shop,Chinese,27.42942638282298,Weekend,Not given,33,27
1478530,175333,Hill Country Fried Chicken,Chinese,33.56260508695587,Weekday,4,26,29
1478531,45206,Shake Shack,American,15.107037970358215,Weekend,5,35,29
1478532,232035,Byblos Restaurant,Japanese,28.403099578352236,Weekday,4,21,18
1478533,115213,Blue Ribbon Fried Chicken,Italian,27.03307726972368,Weekend,3,22,28
1478534,104352,RedFarm Hudson,American,18.20826518006032,Weekend,3,23,31
1478535,358158,Il Bambino,American,38.74697143668843,Weekend,4,20,28
1478536,168328,Blue Ribbon Fried Chicken,Italian,21.563947376920737,Weekday,Not given,28,23
1478537,52297,Shake Shack,American,14.857771098594805,Weekend,Not given,24,29
1478538,110858,indikitch,Middle Eastern,14.498045737412689,Weekend,5,24,29
1478539,47483,TAO,Spanish,34.68190033291353,Weekend,Not given,35,18
1478540,399584,Rubirosa,Japanese,11.20551749803333,Weekend,Not given,20,24
1478541,299324,Blue Ribbon Sushi,Japanese,8.840140633044971,Weekend,Not given,34,23
1478542,223234,Tamarind TriBeCa,Italian,16.187217361507788,Weekday,3,23,17
1478543,342925,Blue Ribbon Fried Chicken,Mexican,18.87440819249969,Weekday,Not given,33,30
1478544,76912,Mamoun's Falafel,Chinese,18.94678769912365,Weekend,4,34,27
1478545,53990,TAO,Japanese,18.238245351363943,Weekend,Not given,35,16
1478546,55220,RedFarm Hudson,Chinese,7.716117778292997,Weekend,5,31,28
1478547,319374,Blue Ribbon Sushi,Japanese,17.235413852962814,Weekend,Not given,25,16
1478548,250494,ilili Restaurant,Chinese,14.363252870574652,Weekend,3,21,27
1478549,55334,The Kati Roll Company,Spanish,15.4674185704553,Weekday,5,32,18
1478550,174167,Shake Shack,Japanese,21.10459159387004,Weekend,4,29,32
1478551,301532,Blue Ribbon Sushi Izakaya,Indian,37.94777215867847,Weekday,Not given,31,18
1478552,365287,Chipotle Mexican Grill $1.99 Delivery,American,9.814187933246783,Weekend,5,26,21
1478553,300522,Blue Ribbon Sushi Bar & Grill,Japanese,12.773802657900143,Weekend,Not given,20,28
1478554,396402,S'MAC,Chinese,36.96794297402462,Weekend,3,20,28
1478555,88376,RedFarm Broadway,American,12.00065392211258,Weekend,Not given,33,23
1478556,41746,Otto Enoteca Pizzeria,American,16.62344762380603,Weekend,Not given,25,21
1478557,198845,Parm,American,19.10155125527868,Weekend,5,27,15
1478558,52007,TAO,Korean,15.677715090873908,Weekend,5,22,19
1478559,59681,Shake Shack,Japanese,17.535184229555462,Weekend,3,30,29
1478560,313353,Xi'an Famous Foods,Japanese,9.38477754922742,Weekend,4,31,29
1478561,304082,Blue Ribbon Sushi Izakaya,Japanese,17.906882866667658,Weekend,Not given,24,29
1478562,358111,RedFarm Hudson,Mexican,18.012634873139987,Weekend,4,22,28
1478563,125623,Parm,American,5.499913083951885,Weekend,4,24,16
1478564,91950,Junoon,Thai,13.310496220390345,Weekend,4,28,25
1478565,89887,Tamarind TriBeCa,Japanese,18.377895706142773,Weekend,3,22,28
1478566,75294,Blue Ribbon Sushi Bar & Grill,Italian,27.1561155788513,Weekday,5,23,26
1478567,116019,RedFarm Broadway,Italian,18.78645150499745,Weekend,3,33,20
1478568,135940,Blue Ribbon Sushi Bar & Grill,American,19.069335329471294,Weekend,5,26,24
1478569,235620,Haandi,American,14.591446658511744,Weekend,5,34,27
1478570,279938,The Meatball Shop,Japanese,16.91538313537813,Weekend,3,34,28
1478571,114204,Blue Ribbon Sushi,Japanese,16.81029721878231,Weekend,Not given,22,28
1478572,144484,TAO,American,23.16120924927528,Weekend,5,31,32
1478573,97579,Shake Shack,Chinese,16.766738041323187,Weekend,5,30,18
1478574,376578,Cafe Habana,Japanese,14.699221891980445,Weekend,5,29,22
1478575,259311,The Meatball Shop,Italian,27.352898564865573,Weekend,Not given,22,17
1478576,115489,Hummus Place,Mexican,20.15012924348195,Weekday,Not given,28,19
1478577,44356,TAO,American,19.72675440852559,Weekend,3,26,24
1478578,67457,Blue Ribbon Sushi,Japanese,16.540575636052996,Weekend,Not given,21,32
1478579,41877,Sushi of Gari Tribeca,Mediterranean,16.84174712222554,Weekend,3,29,33
1478580,270568,Parm,Mediterranean,15.692877761287802,Weekday,5,22,20
1478581,65009,The Meatball Shop,Chinese,19.572336233970237,Weekday,4,32,28
1478582,41681,P.J. Clarke's,Japanese,11.62095664893436,Weekend,Not given,31,30
1478583,368633,Shake Shack,Japanese,32.680647233530564,Weekend,5,20,28
1478584,132949,Blue Ribbon Sushi,Japanese,14.959565512352253,Weekday,Not given,20,26
1478585,104836,12 Chairs,Italian,10.410653168405126,Weekday,Not given,34,16
1478586,87006,Han Dynasty,American,10.587475770736855,Weekday,Not given,34,24
1478587,85591,Blue Ribbon Sushi,Japanese,11.088130449749494,Weekend,5,28,16
1478588,94983,Waverly Diner,Indian,13.131020969736385,Weekend,4,28,24
1478589,142681,Nobu Next Door,French,36.35694655181472,Weekday,Not given,29,29
1478590,197802,Han Dynasty,Italian,7.35882470046881,Weekday,4,32,24
1478591,57913,The Meatball Shop,American,29.859775715189564,Weekday,Not given,22,15
1478592,348096,Shake Shack,French,11.179558587136937,Weekend,Not given,33,27
1478593,200235,Blue Ribbon Sushi,American,13.977667201886817,Weekend,Not given,32,21
1478594,69971,Westville Hudson,Japanese,18.52513086483128,Weekday,Not given,27,30
1478595,65404,The Meatball Shop,American,26.115869577955657,Weekend,4,28,28
1478596,61588,Dirty Bird to Go,Chinese,15.493617201966524,Weekend,5,34,24
1478597,139725,Blue Ribbon Sushi,American,18.123164635111188,Weekend,3,34,29
1478598,114747,Shake Shack,Japanese,16.44356978946461,Weekday,Not given,21,28
1478599,182252,Shake Shack,American,14.96668968500168,Weekday,4,23,28
1478600,27609,Shake Shack,Chinese,33.608127836803185,Weekend,4,33,22
1478601,104533,Blue Ribbon Fried Chicken,Japanese,11.939523654430154,Weekday,5,27,23
1478602,82901,Cafe Habana,American,23.687642006522253,Weekend,5,34,26
1478603,127036,Hatsuhana,Chinese,18.30026608878428,Weekend,Not given,21,24
1478604,74395,RedFarm Broadway,Chinese,22.03586030881074,Weekend,Not given,32,28
1478605,81237,Five Guys Burgers and Fries,Italian,21.060272163074305,Weekend,Not given,34,26
1478606,175673,Shake Shack,Chinese,14.474524791943288,Weekday,5,24,30
1478607,320463,Bareburger,Japanese,10.11456631525416,Weekend,5,26,16
1478608,297100,Rubirosa,Indian,11.983572008789643,Weekend,Not given,24,20
1478609,54600,Rubirosa,Japanese,16.395567903103675,Weekday,4,25,20
1478610,231061,Momoya,Japanese,14.464484903675505,Weekend,Not given,34,17
1478611,199778,Shake Shack,Indian,17.02418268293529,Weekday,3,23,19
1478612,41662,Han Dynasty,Italian,26.137747925948347,Weekend,5,32,17
1478613,75158,The Smile,American,34.30471371843176,Weekend,5,25,19
1478614,82041,Carmine's,Japanese,23.2701506724838,Weekend,Not given,29,22
1478615,381020,Blue Ribbon Sushi,Italian,11.979611603049102,Weekend,5,26,29
1478616,77384,The Meatball Shop,Italian,21.073812576422768,Weekday,3,32,25
1478617,334801,Shake Shack,Italian,24.0719792038782,Weekend,Not given,32,18
1478618,47410,The Meatball Shop,American,9.02543150838846,Weekend,5,30,29
1478619,96913,Blue Ribbon Sushi Bar & Grill,American,12.146133624878916,Weekend,3,29,26
1478620,72291,Shake Shack,American,22.98972629108563,Weekend,Not given,34,31
1478621,41716,Shake Shack,American,7.52036967697058,Weekday,3,31,26
1478622,68995,Parm,Mediterranean,15.883246903304954,Weekend,4,25,17
1478623,44759,12 Chairs,Japanese,17.97382180883738,Weekday,Not given,21,28
1478624,60173,RedFarm Broadway,Italian,20.938778860890896,Weekend,3,35,15
1478625,58675,Blue Ribbon Sushi Izakaya,Chinese,16.336190768225144,Weekend,Not given,28,23
1478626,60270,Blue Ribbon Sushi Izakaya,American,17.139803624575453,Weekend,Not given,25,33
1478627,306162,Shake Shack,Chinese,20.376716434435924,Weekend,5,27,23
1478628,94297,Cafe Habana,Chinese,32.39233801572652,Weekday,5,26,25
1478629,235663,Haandi,Italian,35.21468805854415,Weekend,Not given,34,15
1478630,93133,Boqueria,Mediterranean,14.51584842332937,Weekend,Not given,28,25
1478631,400920,RedFarm Hudson,American,20.43656719661769,Weekend,Not given,22,29
1478632,77763,Samurai Mama,Japanese,14.365583770186316,Weekend,5,32,27
1478633,94005,Chipotle Mexican Grill $1.99 Delivery,American,11.91835483791245,Weekday,Not given,20,20
1478634,65052,RedFarm Hudson,American,18.47817689987369,Weekday,3,25,24
1478635,94523,The Meatball Shop,Japanese,12.319847759275582,Weekend,4,21,23
1478636,68472,Yama Japanese Restaurant,Indian,17.520409649702103,Weekend,3,34,28
1478637,140385,Burger Joint,Japanese,24.9245971571706,Weekend,Not given,22,24
1478638,83439,The Smile,Japanese,10.524320034300018,Weekend,5,35,23
1478639,134340,Shake Shack,Italian,19.25612519349391,Weekend,Not given,30,16
1478640,295154,TAO,Japanese,13.373438785777214,Weekend,5,23,27
1478641,175601,Shake Shack,Japanese,20.880912428711127,Weekend,4,33,32
1478642,118310,Blue Ribbon Sushi,Japanese,18.39981797592285,Weekday,4,27,24
1478643,52963,Shake Shack,Spanish,12.20498883088992,Weekend,Not given,30,30
1478644,60539,Shake Shack,Chinese,10.443431884770792,Weekend,5,25,30
1478645,355683,Balthazar Boulangerie,Mexican,18.282962971888445,Weekend,3,31,25
1478646,60173,Blue Ribbon Sushi,Japanese,34.921661494337044,Weekend,Not given,27,24
1478647,114585,Blue Ribbon Sushi,American,30.096872608054923,Weekday,3,26,22
1478648,91105,Shake Shack,Southern,26.39530460106198,Weekday,4,31,15
1478649,328731,Han Dynasty,Mexican,9.34806177164999,Weekend,4,24,28
1478650,5182,RedFarm Broadway,American,18.398415585874137,Weekend,5,23,27
1478651,301075,Shake Shack,Chinese,30.788364729825165,Weekend,Not given,22,18
1478652,64591,Blue Ribbon Sushi,Japanese,13.145078856507794,Weekend,Not given,32,27
1478653,317947,Blue Ribbon Sushi,American,19.82033542853572,Weekday,5,29,25
1478654,43061,Nobu Next Door,Italian,14.493150946170008,Weekend,5,26,29
1478655,149984,Parm,American,27.348600687166105,Weekday,5,24,30
1478656,286886,Momoya,American,14.66416011100664,Weekend,3,24,28
1478657,124128,Sushi of Gari,Japanese,17.365098628874417,Weekday,4,34,26
1478658,260005,Le Grainne Cafe,Italian,18.82387794829277,Weekend,Not given,25,31
1478659,199436,The Meatball Shop,American,35.47338615885458,Weekday,5,21,19
1478660,114962,P.J. Clarke's,Japanese,30.85042306571081,Weekend,Not given,23,24
1478661,361263,RedFarm Hudson,Japanese,10.845925106781904,Weekend,5,26,22
1478662,347181,Donburi-ya,Chinese,16.930979658934717,Weekend,Not given,22,21
1478663,133637,Five Guys Burgers and Fries,Chinese,20.22173683004662,Weekend,4,32,24
1478664,56722,Lamarca Pasta,American,21.985671638173194,Weekday,5,35,26
1478665,139870,Blue Ribbon Fried Chicken,American,19.46235562763034,Weekend,3,23,20
1478666,141775,The Meatball Shop,American,12.0623067370114,Weekend,5,22,16
1478667,64196,Cho Dang Gol,Italian,32.83964381667083,Weekday,Not given,25,28
1478668,59673,Han Dynasty,Italian,25.92527560573284,Weekend,Not given,22,20
1478669,147489,RedFarm Broadway,Mexican,19.57972978723185,Weekday,4,32,24
1478670,347224,Sushi of Gari,Mexican,19.553291146192684,Weekday,Not given,24,32
1478671,94297,Tony's Di Napoli,American,22.15577799261833,Weekend,5,28,24
1478672,232582,Blue Ribbon Fried Chicken,Middle Eastern,19.35248543463515,Weekday,5,35,26
1478673,81295,RedFarm Broadway,Spanish,10.850686554495056,Weekday,Not given,25,22
1478674,69749,Osteria Morini,Mexican,14.233841467302794,Weekday,Not given,32,30
1478675,53543,Room Service,American,19.47998577077305,Weekday,4,32,27
1478676,222879,The Smile,Mexican,34.97771966848347,Weekday,Not given,32,27
1478677,163975,Han Dynasty,American,25.91433358865188,Weekend,5,32,16
1478678,92596,Cafe Habana,American,7.495974587346613,Weekday,3,20,24
1478679,97294,Rubirosa,American,18.287146874207945,Weekend,Not given,23,32
1478680,154514,TAO,American,22.61469688275032,Weekend,3,33,32
1478681,60095,Blue Ribbon Sushi Izakaya,Italian,9.871276977777631,Weekday,5,30,25
1478682,129561,The Meatball Shop,Italian,16.56769809214208,Weekday,Not given,25,32
1478683,70501,Cafeteria,American,12.73153477401154,Weekend,Not given,27,27
1478684,52463,Osteria Morini,Japanese,17.3820627477065,Weekend,Not given,23,30
1478685,76985,Momoya,Indian,11.24362457415008,Weekend,3,23,30
1478686,181782,Blue Ribbon Fried Chicken,Mexican,15.785454474514191,Weekend,Not given,21,28
1478687,235788,Burger Joint,American,13.320547229417572,Weekday,Not given,30,21
1478688,338599,Blue Ribbon Fried Chicken,Italian,19.903769275659187,Weekend,Not given,30,29
1478689,150484,Carmine's,Indian,20.92393014555781,Weekday,Not given,30,25
1478690,59785,Hangawi,Italian,14.991101708662416,Weekend,3,24,18
1478691,382046,Parm,American,10.805399471531102,Weekday,Not given,24,31
1478692,403062,Shake Shack,Japanese,34.508316036658286,Weekend,3,25,26
1478693,82158,The Kati Roll Company,Italian,12.443426752223589,Weekend,5,20,22
1478694,125480,Cafe Habana,Italian,13.676113211340905,Weekday,5,24,29
1478695,350343,S'MAC,Japanese,18.49362054954799,Weekend,5,26,31
1478696,364283,Momoya,Japanese,15.652720137071729,Weekend,4,28,29
1478697,152786,Pepe Rosso To Go,Chinese,36.62306000218921,Weekday,3,27,15
1478698,245264,Xi'an Famous Foods,Italian,9.77322581271525,Weekday,5,21,21
1478699,122579,Blue Ribbon Sushi Bar & Grill,American,17.335827975515883,Weekend,5,34,16
1478700,63141,P.J. Clarke's,Italian,15.709109559282282,Weekend,Not given,20,24
1478701,84057,RedFarm Broadway,American,27.539845875462213,Weekend,3,21,20
1478702,98491,Parm,Italian,8.070931203386644,Weekend,4,26,27
1478703,58175,The Meatball Shop,Italian,7.521783620130876,Weekend,Not given,29,18
1478704,85782,Shake Shack,Mediterranean,20.561469556190666,Weekend,5,21,28
1478705,115183,Wo Hop Restaurant,Italian,12.146142746082305,Weekday,5,22,31
1478706,398489,Tamarind TriBeCa,Mexican,16.301911695564016,Weekend,3,34,27
1478707,143511,Cafe Mogador,American,16.249568732184628,Weekday,Not given,31,31
1478708,329051,Donburi-ya,American,25.885464595577083,Weekend,Not given,34,26
1478709,235861,Hangawi,Italian,21.292459663258175,Weekend,5,30,25
1478710,94152,Dos Caminos,Indian,20.628897623012158,Weekend,5,33,28
1478711,126042,RedFarm Hudson,Japanese,17.8653977506332,Weekend,5,26,24
1478712,284805,Shake Shack,Italian,10.041235228672637,Weekend,4,20,27
1478713,355219,Shake Shack,American,13.02147572621976,Weekday,Not given,35,27
1478714,201938,Cho Dang Gol,Mexican,20.6932124641529,Weekend,Not given,25,15
1478715,270525,Shake Shack,Indian,18.46895283298228,Weekend,4,34,27
1478716,345105,Han Dynasty,Mexican,26.18396445380164,Weekday,Not given,33,26
1478717,130521,Blue Ribbon Sushi,Japanese,4.123530421949089,Weekend,Not given,21,30
1478718,334728,Shake Shack,American,34.5251902739205,Weekend,3,34,15
1478719,50323,Five Guys Burgers and Fries,Italian,26.80041698892285,Weekend,4,28,24
1478720,362111,The Meatball Shop,Japanese,7.468467848011532,Weekend,Not given,23,25
1478721,118752,Sushi of Gari 46,Japanese,10.151947531799742,Weekend,4,28,20
1478722,95664,Blue Ribbon Sushi,Italian,10.198883843943772,Weekend,Not given,22,29
1478723,209149,Nobu Next Door,American,12.441385234553398,Weekday,Not given,34,25
1478724,234132,The Meatball Shop,Chinese,36.86921694423035,Weekend,4,31,28
1478725,74412,Blue Ribbon Fried Chicken,Japanese,19.357590672463285,Weekend,Not given,34,26
1478726,35309,da Umberto,American,18.99020661601415,Weekend,Not given,26,30
1478727,54630,Blue Ribbon Sushi,Chinese,30.947239398902465,Weekend,Not given,31,28
1478728,49738,Otto Enoteca Pizzeria,Japanese,10.745828210485325,Weekend,5,30,17
1478729,301661,Shake Shack,Italian,11.327362639372932,Weekday,Not given,33,31
1478730,98289,Hill Country Fried Chicken,American,34.860059738899174,Weekend,5,35,22
1478731,35309,Blue Ribbon Sushi,Chinese,25.818074287401235,Weekend,Not given,26,26
1478732,270119,Shake Shack,Japanese,14.974462368600154,Weekend,5,23,19
1478733,103852,Olea,Japanese,16.1774894156342,Weekend,3,29,23
1478734,241719,Yama 49,Italian,18.988263135148078,Weekend,Not given,20,20
1478735,113860,Barbounia,American,13.84808693302756,Weekend,Not given,26,21
1478736,127036,Balthazar Boulangerie,Mexican,29.210888794580853,Weekend,Not given,27,17
1478737,154022,Blue Ribbon Sushi,Mediterranean,17.263960800302037,Weekend,Not given,29,26
1478738,118310,P.J. Clarke's,American,13.17377199453266,Weekend,3,31,25
1478739,111864,Vezzo Thin Crust Pizza,American,29.968727095926823,Weekend,Not given,28,29
1478740,268958,Blue Ribbon Fried Chicken,American,36.08914976797786,Weekend,Not given,30,21
1478741,65361,Blue Ribbon Sushi Bar & Grill,Chinese,16.878168289917493,Weekend,4,27,19
1478742,317904,RedFarm Hudson,American,17.563284571609856,Weekend,Not given,27,19
1478743,61373,Blue Ribbon Fried Chicken,American,15.643963772901705,Weekend,Not given,29,30
1478744,137565,The Meatball Shop,Japanese,17.789540596847523,Weekend,3,23,32
1478745,104398,Blue Ribbon Sushi,Mexican,30.844476758878056,Weekend,3,26,19
1478746,346780,Sushi of Gari 46,American,18.363923531233176,Weekday,4,28,27
1478747,184368,DuMont Burger,American,18.17229555386387,Weekend,5,25,23
1478748,114426,Parm,Chinese,13.20550363796406,Weekend,3,22,24
1478749,84087,Sarabeth's,French,34.490669244545394,Weekend,Not given,22,22
1478750,141539,Sushi of Gari 46,Japanese,22.70712110919404,Weekday,Not given,28,26
1478751,353986,Otto Enoteca Pizzeria,American,33.39375693121855,Weekend,Not given,25,16
1478752,95164,RedFarm Broadway,Italian,34.99497803178253,Weekday,5,27,28
1478753,60901,The Meatball Shop,Middle Eastern,16.725851814927218,Weekend,5,26,16
1478754,57608,Shake Shack,Japanese,11.214359335441332,Weekend,Not given,35,23
1478755,263469,Hill Country Fried Chicken,Chinese,29.579725656645675,Weekend,5,25,30
1478756,212296,Han Dynasty,Italian,21.363706491753888,Weekend,4,27,18
1478757,175827,CafÌ© China,Japanese,17.167149654969396,Weekend,4,28,25
1478758,71292,Sushi Samba,Japanese,17.658116106527714,Weekday,5,28,27
1478759,64830,The Loop,Japanese,34.09857322722782,Weekend,4,26,26
1478760,52832,Bhatti Indian Grill,Mediterranean,16.21474609527892,Weekend,Not given,27,29
1478761,405334,Rubirosa,Japanese,15.34646081638081,Weekend,Not given,35,15
1478762,318874,Nobu Next Door,Middle Eastern,2.632332611855192,Weekend,5,29,23
1478763,94152,Delicatessen,American,28.057157438706327,Weekday,5,33,32
1478764,176592,Blue Ribbon Fried Chicken,Middle Eastern,9.392156964453036,Weekday,4,20,24
1478765,65331,Parm,Chinese,8.97889788485238,Weekend,5,30,28
1478766,95207,Bukhara Grill,Japanese,19.35431483609213,Weekend,5,28,16
1478767,88303,Blue Ribbon Sushi,Japanese,15.811725961703338,Weekend,Not given,20,15
1478768,269001,Barbounia,Italian,12.003283305383118,Weekend,Not given,33,30
1478769,264369,Shake Shack,American,18.096536413841086,Weekend,5,24,25
1478770,173710,Blue Ribbon Fried Chicken,American,13.456479020124542,Weekday,5,26,17
1478771,375555,Bareburger,Japanese,34.545234560042275,Weekend,Not given,31,27
1478772,68344,S'MAC,American,17.41271365728068,Weekend,5,31,16
1478773,259384,5 Napkin Burger,Japanese,8.851088074551235,Weekend,4,29,15
1478774,61431,Sarabeth's West,Japanese,32.926164782355016,Weekday,Not given,24,15
1478775,65849,S'MAC,American,37.55898834289052,Weekend,Not given,27,15
1478776,192317,RedFarm Broadway,Indian,11.894730154091484,Weekday,5,23,27
1478777,75294,Blue Ribbon Fried Chicken,Mediterranean,16.486630935493814,Weekday,5,29,29
1478778,73873,Blue Ribbon Sushi,Middle Eastern,22.62494116619049,Weekend,5,22,19
1478779,131320,Sushi of Gari 46,Japanese,24.997913002023445,Weekend,4,31,29
1478780,336132,Galli Restaurant,Japanese,17.561713805363077,Weekday,Not given,32,31
1478781,175333,Nobu Next Door,American,16.572022380392863,Weekend,3,30,27
1478782,49763,Vanessa's Dumplings,Chinese,13.93386399787138,Weekday,4,34,29
1478783,88376,Parm,American,20.1436276175148,Weekend,5,34,20
1478784,103895,P.J. Clarke's,Italian,6.854485116620694,Weekend,Not given,21,17
1478785,105048,The Meatball Shop,Japanese,10.605610874897952,Weekend,5,25,24
1478786,320536,Blue Ribbon Sushi,Japanese,8.921200317541103,Weekend,4,28,18
1478787,84587,Blue Ribbon Sushi,American,30.96232970886223,Weekend,Not given,32,29
